_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp
6a1d483472016ea84dd79bb3,false,49.36,92.65,49.36,61.66,126;0;0;0,words,25,-1,0,30.63,0,0,false,false,english,,normal,false,false,false,,1780303924000
6a1d481472016ea84dd79a72,false,50.83,95.52,50.83,68.62,128;0;0;0,words,25,-1,0,30.22,0,0,false,false,english,,normal,false,false,false,,1780303892000
6a1d141172016ea84dd5d9f0,false,56.89,100,56.89,75.92,127;0;0;0,words,25,-1,0,26.79,0,0,false,false,english,,normal,false,false,false,,1780290577000
6a1d13f572016ea84dd5d921,false,44.76,96.32,44.76,63.35,131;0;0;0,words,25,-1,0,35.12,0,0,false,false,english,,normal,false,false,false,,1780290549000
6a1c6fb272016ea84dd1e1dd,false,52.6,96.75,52.6,57.79,119;0;0;0,words,25,-1,0,27.15,0,0,false,false,english,,normal,false,false,false,,1780248498000
6a1c6f6a72016ea84dd1df6b,false,42.45,91.33,42.45,58.05,137;0;0;0,words,25,-1,0,38.73,0,0,false,false,english,,normal,false,false,false,,1780248426000
6a1c6f1472016ea84dd1dc99,false,48.37,96.48,48.37,68.9,136;0;0;0,words,25,-1,0,33.74,0,0,false,false,english,,normal,false,false,false,,1780248340000
6a1c6a5372016ea84dd1b407,false,56.69,100,56.69,70.16,132;0;0;0,words,25,-1,0,27.94,0,0,false,false,english,,normal,false,false,false,,1780247123000
6a1c59cf72016ea84dd1280c,false,51.41,92.25,51.41,67.32,131;0;0;0,words,25,-1,0,30.58,0,0,false,false,english,,normal,false,false,false,,1780242895000
6a1c59a672016ea84dd126b4,false,40.76,86.39,40.76,58.81,127;0;0;0,words,25,-1,0,37.39,1,0,false,false,english,,normal,false,false,false,,1780242854000
6a1c594c72016ea84dd12381,false,46.92,91.49,46.92,57.59,129;0;0;0,words,25,-1,0,32.99,0,0,false,false,english,,normal,false,false,false,,1780242764000
6a1c321f72016ea84dcfd6a0,false,52.17,96.21,52.17,67.03,126;0;0;0,words,25,-1,0,28.98,0,0,false,false,english,,normal,false,false,false,,1780232735000
6a1c31d872016ea84dcfd485,false,42.57,91.37,42.57,60.27,125;0;0;0,words,25,-1,0,35.24,0,0,false,false,english,,normal,false,false,false,,1780232664000
6a1c317e72016ea84dcfd177,false,51.49,94.81,51.49,66.44,128;0;0;0,words,25,-1,0,29.83,0,0,false,false,english,,normal,false,false,false,,1780232574000
6a1c30be72016ea84dcfcb5f,false,54.38,96.69,54.38,69.92,116;0;0;0,words,25,-1,0,25.6,0,0,false,false,english,,normal,false,false,false,,1780232382000
6a1c308172016ea84dcfc9b3,false,42.1,87.76,44.12,62.43,125;2;1;0,words,25,-1,0,35.63,0,0,false,false,english,,normal,false,false,false,,1780232321000
6a1c304c72016ea84dcfc80c,false,51.7,95.35,51.7,72.88,123;0;0;0,words,25,-1,0,28.55,0,0,false,false,english,,normal,false,false,false,,1780232268000
6a1c302472016ea84dcfc6d0,false,55.99,97.73,55.99,72.18,129;0;0;0,words,25,-1,0,27.65,0,0,false,false,english,,normal,false,false,false,,1780232228000
6a1c2eda72016ea84dcfbc4d,false,49.79,96.97,49.79,67.49,128;0;0;0,words,25,-1,0,30.85,0,0,false,false,english,,normal,false,false,false,,1780231898000
6a1c2e7e72016ea84dcfb98e,false,49.12,96.03,50.78,72.91,118;1;0;1,words,25,-1,0,28.83,0,0,false,false,english,,normal,false,false,false,,1780231806000
6a1c2e3472016ea84dcfb721,false,55.8,98.61,55.8,75.53,142;0;0;0,words,25,-1,0,30.54,0,0,false,false,english,,normal,false,false,false,,1780231732000
